Anime_ID,Title,Synopsis,Episodes,Premiered,Genre,Rating,Score,Scored_By,Rank,Popularity,Members,Favorites,Image_URL,cSynopsis,cGenre,cRating
20,Naruto,"Moments prior to Naruto Uzumakis birth, a huge demon known as the Kyuubi, the Nine-Tailed Fox, attacked Konohagakure, the Hidden Leaf Village, and wreaked havoc. In order to put an end to the Kyuubis rampage, the leader of the village, the Fourth Hokage, sacrificed his life and sealed the monstrous beast inside the newborn Naruto. Now, Naruto is a hyperactive and knuckle-headed ninja still living in Konohagakure. Shunned because of the Kyuubi inside him, Naruto struggles to find his place in the village, while his burning desire to become the Hokage of Konohagakure leads him not only to some great new friends, but also some deadly foes.",220,Fall 2002,"Action, Adventure, Comedy, Super Power, Martial Arts, Shounen",PG-13 - Teens 13 or older,7.88,652783,744.0,10,987088,34669,https://myanimelist.cdn-dena.com/images/anime/13/17405.jpg,moments prior to naruto uzumakis birth a huge demon known as the kyuubi the ninetailed fox attacked konohagakure the hidden leaf village and wreaked havoc in order to put an end to the kyuubis rampage the leader of the village the fourth hokage sacrificed his life and sealed the monstrous beast inside the newborn naruto now naruto is a hyperactive and knuckleheaded ninja still living in konohagakure shunned because of the kyuubi inside him naruto struggles to find his place in the village while his burning desire to become the hokage of konohagakure leads him not only to some great new friends but also some deadly foes,"action, adventure, comedy, super power, martial arts, shounen",pg13  teens 13 or older
18397,Shingeki no Kyojin OVA,"Bundled with the 12th, 1th, and 14th limited-edition manga volumes.",3,,"Action, Super Power, Drama, Fantasy, Shounen",R - 17+ (violence & profanity),7.88,99187,745.0,453,177388,622,https://myanimelist.cdn-dena.com/images/anime/9/59221.jpg,bundled with the 12th 1th and 14th limitededition manga volumes,"action, super power, drama, fantasy, shounen",r  17+ (violence & profanity)
24893,Sidonia no Kishi: Daikyuu Wakusei Seneki,"Having narrowly avoided the collision with the asteroid, the Sidonia sets a course for the Lem system in order to wipe out the Gauna nest. (Source: Polygon Pictures)",12,Spring 2015,"Action, Sci-Fi, Space, Mecha, Seinen",R - 17+ (violence & profanity),7.88,42427,746.0,1061,78572,302,https://myanimelist.cdn-dena.com/images/anime/11/72712.jpg,having narrowly avoided the collision with the asteroid the sidonia sets a course for the lem system in order to wipe out the gauna nest (source: polygon pictures),"action, sci-fi, space, mecha, seinen",r  17+ (violence & profanity)
20057,Space☆Dandy,"The universe is a mysterious and strange place, full of even stranger and more mysterious aliens. Dandys job is to hunt down unclassified aliens and register them for a reward. It sounds easy enough, but something weird always seems to happen along the way, like chance meetings with zombies, mystical ramen chefs, and adorable orphans. Hunting down aliens may not be easy, but its definitely never boring. With the help of his sidekicks, the adorable robot vacuum QT and cat-like alien Meow, and his slightly-used ship the Aloha Oe, Dandy roams the galaxy searching for new alien species. What he usually finds, however, is adventure, danger, and romance, and no two journeys (or universes) are ever the same. This is Space☆Dandy, baby!",13,Winter 2014,"Sci-Fi, Space, Comedy",PG-13 - Teens 13 or older,7.88,75846,747.0,469,173017,2884,https://myanimelist.cdn-dena.com/images/anime/4/56611.jpg,the universe is a mysterious and strange place full of even stranger and more mysterious aliens dandys job is to hunt down unclassified aliens and register them for a reward it sounds easy enough but something weird always seems to happen along the way like chance meetings with zombies mystical ramen chefs and adorable orphans hunting down aliens may not be easy but its definitely never boring with the help of his sidekicks the adorable robot vacuum qt and catlike alien meow and his slightlyused ship the aloha oe dandy roams the galaxy searching for new alien species what he usually finds however is adventure danger and romance and no two journeys (or universes) are ever the same this is space☆dandy baby,"sci-fi, space, comedy",pg13  teens 13 or older
16870,The Last: Naruto the Movie,"It has been two years since the Fourth Shinobi World War, and the world is once again existing in harmony—that is, until another threat surfaces and once again puts the planet on the very brink of destruction. Amidst the impending catastrophe, Hinata Hyuuga’s sister, Hanabi, is suddenly abducted. Naruto Uzumaki, together with a team of skillful ninjas Sakura, Sai, Shikamaru, and Hinata, set out to rescue Hanabi from the evil clutches of Toneri Ootsutsuki. While they get closer and closer to completing their mission, they are faced with several adversaries, who will not only test the relationship they have with one another, but also puts the fate of the planet in face of uncertainty. As the clock ticks, the team rushes to end the last battle, fighting for peace...and love.",1,,"Action, Super Power, Romance, Martial Arts, Shounen",PG-13 - Teens 13 or older,7.88,100060,748.0,520,157210,698,https://myanimelist.cdn-dena.com/images/anime/10/67631.jpg,it has been two years since the fourth shinobi world war and the world is once again existing in harmony—that is until another threat surfaces and once again puts the planet on the very brink of destruction amidst the impending catastrophe hinata hyuuga’s sister hanabi is suddenly abducted naruto uzumaki together with a team of skillful ninjas sakura sai shikamaru and hinata set out to rescue hanabi from the evil clutches of toneri ootsutsuki while they get closer and closer to completing their mission they are faced with several adversaries who will not only test the relationship they have with one another but also puts the fate of the planet in face of uncertainty as the clock ticks the team rushes to end the last battle fighting for peaceand love,"action, super power, romance, martial arts, shounen",pg13  teens 13 or older
7044,Zan Sayonara Zetsubou Sensei Bangaichi,A new Sayonara Zetsubou Sensei OVA.,2,,"Comedy, Parody, School",R - 17+ (violence & profanity),7.88,11272,749.0,2264,26982,28,https://myanimelist.cdn-dena.com/images/anime/9/17699.jpg,a new sayonara zetsubou sensei ova,"comedy, parody, school",r  17+ (violence & profanity)
35608,Chuunibyou demo Koi ga Shitai! Movie: Take On Me,"The movie will feature a new story where Yuuta and Rikka are on their third year of high school. One day in Spring, Touka declares that she will take Rikka to Italy with her, as her job has stabilized there and thinks they should migrate together as a family. Touka is also worried about Rikka not being competent enough to advance to universities in Japan. The gangs from the club suggested Yuuta, who doesnt want to be separated, to elope with Rikka!! A runaway drama throughout Japan begins. (Source: MAL News)",1,,"Slice of Life, Comedy, Drama, Romance, School",PG-13 - Teens 13 or older,7.86,1093,771.0,1635,45568,111,https://myanimelist.cdn-dena.com/images/anime/2/89974.jpg,the movie will feature a new story where yuuta and rikka are on their third year of high school one day in spring touka declares that she will take rikka to italy with her as her job has stabilized there and thinks they should migrate together as a family touka is also worried about rikka not being competent enough to advance to universities in japan the gangs from the club suggested yuuta who doesnt want to be separated to elope with rikka a runaway drama throughout japan begins (source: mal news),"slice of life, comedy, drama, romance, school",pg13  teens 13 or older
1818,Claymore,"When a shapeshifting demon with a thirst for human flesh, known as ""youma,"" arrives in Rakis village, a lone woman with silver eyes walks into town with only a sword upon her back. She is a ""Claymore,"" a being manufactured as half-human and half-youma, for the express purpose of exterminating these monsters. After Rakis family is killed, the Claymore saves his life, but he is subsequently banished from his home. With nowhere else to go, Raki finds the Claymore, known as Clare, and decides to follow her on her journeys. As the pair travel from town to town, defeating youma along the way, more about Clares organization and her fellow warriors comes to light. With every town cleansed and every demon destroyed, they come closer to the youma on which Clare has sought vengeance ever since she chose to become a Claymore.",26,Spring 2007,"Action, Adventure, Super Power, Demons, Supernatural, Fantasy, Shounen",R+ - Mild Nudity,7.87,208133,751.0,120,406152,7052,https://myanimelist.cdn-dena.com/images/anime/3/21834.jpg,when a shapeshifting demon with a thirst for human flesh known as youma arrives in rakis village a lone woman with silver eyes walks into town with only a sword upon her back she is a claymore a being manufactured as halfhuman and halfyouma for the express purpose of exterminating these monsters after rakis family is killed the claymore saves his life but he is subsequently banished from his home with nowhere else to go raki finds the claymore known as clare and decides to follow her on her journeys as the pair travel from town to town defeating youma along the way more about clares organization and her fellow warriors comes to light with every town cleansed and every demon destroyed they come closer to the youma on which clare has sought vengeance ever since she chose to become a claymore,"action, adventure, super power, demons, supernatural, fantasy, shounen",r+  mild nudity
552,Digimon Adventure,"When a group of kids head out for summer camp, they dont expect it to snow in the middle of July. Out of nowhere, the kids receive strange devices which transport them to a very different world to begin their Digimon Adventure! Led by the plucky Taichi Yagami, the seven children must now survive in a realm far from home, filled with monsters and devoid of other humans. Luckily, theyre not alone: each child is paired off with a companion digital monster called a Digimon. Together, the children and their new friends must overcome their insecurities, discover their inner strengths, and evolve into stronger fighters - literally. A force of evil is spreading through the Digital World, corrupting all the Digimon. The DigiDestined have arrived and it’s up to them to save the Digital World, if they ever want to see their home world again.",54,Spring 1999,"Action, Adventure, Comedy, Fantasy, Kids",PG - Children,7.87,151125,751.0,305,234523,3638,https://myanimelist.cdn-dena.com/images/anime/10/11070.jpg,when a group of kids head out for summer camp they dont expect it to snow in the middle of july out of nowhere the kids receive strange devices which transport them to a very different world to begin their digimon adventure led by the plucky taichi yagami the seven children must now survive in a realm far from home filled with monsters and devoid of other humans luckily theyre not alone: each child is paired off with a companion digital monster called a digimon together the children and their new friends must overcome their insecurities discover their inner strengths and evolve into stronger fighters  literally a force of evil is spreading through the digital world corrupting all the digimon the digidestined have arrived and it’s up to them to save the digital world if they ever want to see their home world again,"action, adventure, comedy, fantasy, kids",pg  children
5835,Hanasakeru Seishounen,"Kajika Louisa Kugami Burnsworth is the only daughter of Harry Burnsworth, an influential and respected industrialist who has the power to move the world. There was a threat on Kajika’s life when she was just two years old, and her mother died protecting her. After this tragic incident, Harry sent his only child to an isolated island, Giviolle, where she was raised by the island’s native, Maria. Kajika’s companions during her time there include a white leopard named Mustafa and a boy named Li Ren Fang, who visited her two or three times a year. Kajika, now fourteen, returns to her fathers side, only to be told to begin a game to find her future husband. Harry makes sure that Kajika willingly participates in this game by telling her that she needs to face the harshness of her fate along with the man she chooses to be her husband. She needs to decide among the three candidates that Harry has personally chosen, but it won’t be easy. Kajika must figure out who they are and where they are without any information to go on except that they all possess an irresistible brilliance and charm. All the while, the men arent even aware that they are the chosen ones. Kajika must also choose wisely, as her partner has to willingly accept her to be his bride. Hansakeru Seishounen revolves around endearing love, intense passion, noble friendship, undying loyalty, family relations, and political intrigue. The heaviness of Kajika’s fate is real, the threat on Kajika’s life is inevitable, and the husband game is more than just a mere game. Harry needs to find a suitable partner to protect his daughter before someone discovers Kajika’s deep secret—a secret even she is unaware of.",39,Spring 2009,"Drama, Romance, Shoujo",PG-13 - Teens 13 or older,7.87,16818,753.0,1657,44812,500,https://myanimelist.cdn-dena.com/images/anime/6/22695.jpg,kajika louisa kugami burnsworth is the only daughter of harry burnsworth an influential and respected industrialist who has the power to move the world there was a threat on kajika’s life when she was just two years old and her mother died protecting her after this tragic incident harry sent his only child to an isolated island giviolle where she was raised by the island’s native maria kajika’s companions during her time there include a white leopard named mustafa and a boy named li ren fang who visited her two or three times a year kajika now fourteen returns to her fathers side only to be told to begin a game to find her future husband harry makes sure that kajika willingly participates in this game by telling her that she needs to face the harshness of her fate along with the man she chooses to be her husband she needs to decide among the three candidates that harry has personally chosen but it won’t be easy kajika must figure out who they are and where they are without any information to go on except that they all possess an irresistible brilliance and charm all the while the men arent even aware that they are the chosen ones kajika must also choose wisely as her partner has to willingly accept her to be his bride hansakeru seishounen revolves around endearing love intense passion noble friendship undying loyalty family relations and political intrigue the heaviness of kajika’s fate is real the threat on kajika’s life is inevitable and the husband game is more than just a mere game harry needs to find a suitable partner to protect his daughter before someone discovers kajika’s deep secret—a secret even she is unaware of,"drama, romance, shoujo",pg13  teens 13 or older
