IDx,Title,Link
12365,Bakuman. 3rd Season,https://myanimelist.net/anime/12365/Bakuman_3rd_Season
20583,Haikyuu!!,https://myanimelist.net/anime/20583/Haikyuu
19647,Hajime no Ippo: Rising,https://myanimelist.net/anime/19647/Hajime_no_Ippo__Rising
7785,Yojouhan Shinwa Taikei,https://myanimelist.net/anime/7785/Yojouhan_Shinwa_Taikei
30654,Ansatsu Kyoushitsu 2nd Season,https://myanimelist.net/anime/30654/Ansatsu_Kyoushitsu_2nd_Season
2921,Ashita no Joe 2,https://myanimelist.net/anime/2921/Ashita_no_Joe_2
11741,Fate/Zero 2nd Season,https://myanimelist.net/anime/11741/Fate_Zero_2nd_Season
31933,JoJo no Kimyou na Bouken: Diamond wa Kudakenai,https://myanimelist.net/anime/31933/JoJo_no_Kimyou_na_Bouken__Diamond_wa_Kudakenai
10379,Natsume Yuujinchou San,https://myanimelist.net/anime/10379/Natsume_Yuujinchou_San
33674,No Game No Life: Zero,https://myanimelist.net/anime/33674/No_Game_No_Life__Zero
22135,Ping Pong the Animation,https://myanimelist.net/anime/22135/Ping_Pong_the_Animation
30484,Steins;Gate 0,https://myanimelist.net/anime/30484/Steins_Gate_0
21329,Mushishi Special: Hihamukage,https://myanimelist.net/anime/21329/Mushishi_Special__Hihamukage
32983,Natsume Yuujinchou Go,https://myanimelist.net/anime/32983/Natsume_Yuujinchou_Go
37450,Seishun Buta Yarou wa Bunny Girl Senpai no Yume wo Minai,https://myanimelist.net/anime/37450/Seishun_Buta_Yarou_wa_Bunny_Girl_Senpai_no_Yume_wo_Minai
28735,Shouwa Genroku Rakugo Shinjuu,https://myanimelist.net/anime/28735/Shouwa_Genroku_Rakugo_Shinjuu
4565,Tengen Toppa Gurren Lagann Movie 2: Lagann-hen,https://myanimelist.net/anime/4565/Tengen_Toppa_Gurren_Lagann_Movie_2__Lagann-hen
4282,Kara no Kyoukai 5: Mujun Rasen,https://myanimelist.net/anime/4282/Kara_no_Kyoukai_5__Mujun_Rasen
35839,Sora yori mo Tooi Basho,https://myanimelist.net/anime/35839/Sora_yori_mo_Tooi_Basho
5300,Zoku Natsume Yuujinchou,https://myanimelist.net/anime/5300/Zoku_Natsume_Yuujinchou
33352,Violet Evergarden,https://myanimelist.net/anime/33352/Violet_Evergarden
36259,Pingu in the City,https://myanimelist.net/anime/36259/Pingu_in_the_City
3297,Aria The Origination,https://myanimelist.net/anime/3297/Aria_The_Origination
6114,Rainbow: Nisha Rokubou no Shichinin,https://myanimelist.net/anime/6114/Rainbow__Nisha_Rokubou_no_Shichinin
35851,Sayonara no Asa ni Yakusoku no Hana wo Kazarou,https://myanimelist.net/anime/35851/Sayonara_no_Asa_ni_Yakusoku_no_Hana_wo_Kazarou
35843,Gintama.: Porori-hen,https://myanimelist.net/anime/35843/Gintama__Porori-hen
11577,Steins;Gate Movie: Fuka Ryouiki no Déjà vu,https://myanimelist.net/anime/11577/Steins_Gate_Movie__Fuka_Ryouiki_no_Déjà_vu
26055,JoJo no Kimyou na Bouken: Stardust Crusaders 2nd Season,https://myanimelist.net/anime/26055/JoJo_no_Kimyou_na_Bouken__Stardust_Crusaders_2nd_Season
33255,Saiki Kusuo no Ψ-nan,https://myanimelist.net/anime/33255/Saiki_Kusuo_no_Ψ-nan
7472,Gintama Movie 1: Shinyaku Benizakura-hen,https://myanimelist.net/anime/7472/Gintama_Movie_1__Shinyaku_Benizakura-hen
578,Hotaru no Haka,https://myanimelist.net/anime/578/Hotaru_no_Haka
12431,Uchuu Kyoudai,https://myanimelist.net/anime/12431/Uchuu_Kyoudai
31043,Boku dake ga Inai Machi,https://myanimelist.net/anime/31043/Boku_dake_ga_Inai_Machi
801,Ghost in the Shell: Stand Alone Complex 2nd GIG,https://myanimelist.net/anime/801/Ghost_in_the_Shell__Stand_Alone_Complex_2nd_GIG
170,Slam Dunk,https://myanimelist.net/anime/170/Slam_Dunk
9989,Ano Hi Mita Hana no Namae wo Bokutachi wa Mada Shiranai.,https://myanimelist.net/anime/9989/Ano_Hi_Mita_Hana_no_Namae_wo_Bokutachi_wa_Mada_Shiranai
10408,Hotarubi no Mori e,https://myanimelist.net/anime/10408/Hotarubi_no_Mori_e
5028,Major S5,https://myanimelist.net/anime/5028/Major_S5
21,One Piece,https://myanimelist.net/anime/21/One_Piece
30709,Kamisama Hajimemashita: Kako-hen,https://myanimelist.net/anime/30709/Kamisama_Hajimemashita__Kako-hen
24415,Kuroko no Basket 3rd Season,https://myanimelist.net/anime/24415/Kuroko_no_Basket_3rd_Season
10165,Nichijou,https://myanimelist.net/anime/10165/Nichijou
35760,Shingeki no Kyojin Season 3,https://myanimelist.net/anime/35760/Shingeki_no_Kyojin_Season_3
28171,Shokugeki no Souma,https://myanimelist.net/anime/28171/Shokugeki_no_Souma
777,Hellsing Ultimate,https://myanimelist.net/anime/777/Hellsing_Ultimate
